"","Date","max","min","mean","sd"
"L2013-07-28",2013-07-28,0.877921030638617,0.123935648976578,0.598249760405357,0.191631366717923
"L2013-08-31",2013-08-31,0.890438244424986,0.0786268114963478,0.692582201967135,0.159866205603756
"L2013-08-31.1",2013-08-31,0.862785409116951,0.17761930572833,0.694251533209079,0.146137678187809
"L2014-07-08",2014-07-08,0.887409685175788,0.17129819820475,0.614036762850713,0.18710888353913
"L2014-07-24",2014-07-24,0.88385911799508,0.129328229015574,0.595251930725387,0.182472096942278
"L2014-08-16",2014-08-16,0.855878048624583,0.155009089007748,0.416931467069786,0.151517032814484
"L2014-09-17",2014-09-17,0.80759331144985,0.104985809618546,0.586180486424958,0.18125227053018
"L2014-09-17.1",2014-09-17,0.792649227051561,0.165040289143743,0.589152709112112,0.170895995096927
"L2015-07-02",2015-07-02,0.871433880900817,0.173007615727388,0.606854541313044,0.182955428005188
"L2015-07-18",2015-07-18,0.822206524899685,0.206093787201071,0.573035531748211,0.150649936611272
"L2015-08-19",2015-08-19,0.871994334186418,0.15883982387404,0.637038326106747,0.191746203710521
"L2015-08-19.1",2015-08-19,0.858241316020819,0.188011482228298,0.639978339299371,0.180754096553542
"L2015-09-04",2015-09-04,0.862510667858823,0.134230012656784,0.633052531759927,0.190466150842423
"L2015-09-13",2015-09-13,0.833333332141164,0.0660760621505495,0.621483011396719,0.183632294913529
"L2015-09-13.1",2015-09-13,0.804951797514154,0.146804528610233,0.625128372104326,0.172904794108867
"S2016-06-03",2016-06-03,0.834813581215807,0.137942248910008,0.568282146389022,0.188667565476504
"S2016-06-03.1",2016-06-03,0.851088193391817,0.0658119640974996,0.562068828648726,0.203262512676057
"S2016-06-23",2016-06-23,0.875162033381183,0.167108740509797,0.617435626592688,0.18326285865001
"L2016-07-13",2016-07-13,0.879055012802521,0.19140487688919,0.641909241204108,0.181525968251046
"S2016-07-13",2016-07-13,0.999914871283873,0.0169314442443358,0.531131106210331,0.228986241301548
"S2016-07-19",2016-07-19,0.893257394240473,0.203016195452588,0.667124093149302,0.185095744604746
"L2016-07-20",2016-07-20,0.902374613151356,0.199539551689929,0.667736803662567,0.187746337591848
"L2016-07-20.1",2016-07-20,0.91498604002978,0.0874999930150805,0.664161755509762,0.200883795879623
"S2016-07-23",2016-07-23,0.891007409466407,0.215815612991966,0.656993685749127,0.185030914511487
"S2016-08-25",2016-08-25,0.879104048270154,0.188503616606508,0.671605713407687,0.187934835436208
"S2016-08-25.1",2016-08-25,0.883347916358421,0.0980799115921171,0.668427879627284,0.20375501255158
"L2016-09-06",2016-09-06,0.906522850879742,0.11084904240931,0.660535338921943,0.195345866315907
"L2016-09-06.1",2016-09-06,0.869415607014802,0.189544020834616,0.663163382059661,0.181726352582695
"S2016-09-14",2016-09-14,0.851399156332301,0.169533362327744,0.656626629745181,0.179097256049772
"S2016-09-14.1",2016-09-14,0.859822308179442,0.0895966037247083,0.653367432937192,0.194969620582461
"S2016-09-17",2016-09-17,0.845102500958919,0.093204422078694,0.651021482014718,0.189249819643874
"S2016-09-17.1",2016-09-17,0.840966112203179,0.176554746062083,0.654459883107067,0.175571245084781
"L2017-06-05",2017-06-05,0.68116138348852,0.0861893252918543,0.474240708590375,0.147671616617242
"S2017-06-08",2017-06-08,0.763685048853291,0.129582535484572,0.544966004660322,0.167477615957028
"S2017-06-08.1",2017-06-08,0.763483428334223,0.0705103264552991,0.537135213487782,0.180681499635299
"S2017-06-11",2017-06-11,0.772191526280986,0.14675524743786,0.556193527268307,0.170241882125624
"L2017-06-14",2017-06-14,0.784834696776321,0.141810712674663,0.558694378867473,0.169349949653598
"S2017-06-14",2017-06-14,0.991736102820582,0.0276681833760237,0.393615426874104,0.265049217456198
"S2017-06-18",2017-06-18,0.835486000857236,0.144842771806084,0.585017518368437,0.174709841208344
